issue,draw_date,sales_amount,one,two,three
2003192,2003-07-17,0,7,2,0
2003191,2003-07-16,0,8,0,2
2003190,2003-07-15,0,6,1,9
2003189,2003-07-14,0,7,1,6
2003188,2003-07-13,0,3,5,5
2003187,2003-07-12,0,2,9,1
2003186,2003-07-11,0,7,8,5
2003185,2003-07-10,0,3,5,8
2003184,2003-07-09,0,1,5,6
2003183,2003-07-08,0,2,0,1
2003182,2003-07-07,0,9,3,8
2003181,2003-07-06,0,4,1,9
2003180,2003-07-05,0,0,7,7
2003179,2003-07-04,0,8,5,6
2003178,2003-07-03,0,5,6,4
2003177,2003-07-02,0,2,1,4
2003176,2003-07-01,0,9,5,1
2003175,2003-06-30,0,5,2,6
2003174,2003-06-29,0,4,3,5
2003173,2003-06-28,0,1,4,6
2003172,2003-06-27,0,0,1,5
2003171,2003-06-26,0,6,2,8
2003170,2003-06-25,0,6,4,8
2003169,2003-06-24,0,9,7,4
2003168,2003-06-23,0,1,2,7
2003167,2003-06-22,0,3,2,3
2003166,2003-06-21,0,2,8,9
2003165,2003-06-20,0,8,3,6
2003164,2003-06-19,0,1,0,4
2003163,2003-06-18,0,7,3,8
2003162,2003-06-17,0,7,9,4
2003161,2003-06-16,0,0,0,1
2003160,2003-06-15,0,3,1,9
2003159,2003-06-14,0,5,5,1
2003158,2003-06-13,0,7,3,5
2003157,2003-06-12,0,2,1,7
2003156,2003-06-11,0,7,5,7
2003155,2003-06-10,0,8,8,2
2003154,2003-06-09,0,7,5,6
2003153,2003-06-08,0,4,6,8
2003152,2003-06-07,0,2,9,7
2003151,2003-06-06,0,1,2,5
2003150,2003-06-05,0,7,6,0
2003149,2003-06-04,0,1,8,2
2003148,2003-06-03,0,4,9,1
2003147,2003-06-02,0,8,7,0
2003146,2003-06-01,0,4,6,4
2003145,2003-05-31,0,4,6,5
2003144,2003-05-30,0,4,4,5
2003143,2003-05-29,0,8,2,6
2003142,2003-05-28,0,5,1,4
2003141,2003-05-27,0,7,8,0
2003140,2003-05-26,0,9,1,5
2003139,2003-05-25,0,6,6,1
2003138,2003-05-24,0,5,3,7
2003137,2003-05-23,0,7,6,8
2003136,2003-05-22,0,9,7,6
2003135,2003-05-21,0,7,7,9
2003134,2003-05-20,0,3,2,4
2003133,2003-05-19,0,9,0,9
2003132,2003-05-18,0,8,2,8
2003131,2003-05-17,0,7,5,3
2003130,2003-05-16,0,2,0,2
2003129,2003-05-15,0,7,3,5
2003128,2003-05-14,0,4,1,3
2003127,2003-05-13,0,9,9,4
2003126,2003-05-12,0,3,9,3
2003125,2003-05-11,0,6,6,7
2003124,2003-05-10,0,6,7,4
2003123,2003-05-09,0,8,6,1
2003122,2003-05-08,0,0,9,6
2003121,2003-05-07,0,8,2,5
2003120,2003-05-06,0,8,9,1
2003119,2003-05-05,0,1,0,6
2003118,2003-05-04,0,8,9,1
2003117,2003-05-03,0,3,7,8
2003116,2003-05-02,0,7,5,8
2003115,2003-05-01,0,7,0,5
2003114,2003-04-30,0,7,0,5
2003113,2003-04-29,0,8,6,5
2003112,2003-04-28,0,2,8,6
2003111,2003-04-27,0,8,0,3
2003110,2003-04-26,0,8,8,4
2003109,2003-04-25,0,6,7,8
2003108,2003-04-24,0,9,7,5
2003107,2003-04-23,0,5,1,8
2003106,2003-04-22,0,7,8,5
2003105,2003-04-21,0,2,3,6
2003104,2003-04-20,0,5,2,6
2003103,2003-04-19,0,3,4,0
2003102,2003-04-18,0,8,0,4
2003101,2003-04-17,0,1,6,5
2003100,2003-04-16,0,3,0,6
2003099,2003-04-15,0,5,4,7
2003098,2003-04-14,0,9,9,7
2003097,2003-04-13,0,7,0,9
2003096,2003-04-12,0,8,6,0
2003095,2003-04-11,0,4,9,6
2003094,2003-04-10,0,8,9,0
2003093,2003-04-09,0,5,3,6
2003092,2003-04-08,0,3,4,8
2003091,2003-04-07,0,5,5,7
2003090,2003-04-06,0,8,2,2
2003089,2003-04-05,0,5,1,6
2003088,2003-04-04,0,1,6,8
2003087,2003-04-03,0,5,5,0
2003086,2003-04-02,0,8,1,2
2003085,2003-04-01,0,5,1,9
2003084,2003-03-31,0,7,6,3
2003083,2003-03-30,0,2,3,8
2003082,2003-03-29,0,7,3,2
2003081,2003-03-28,0,3,8,9
2003080,2003-03-27,0,7,7,4
2003079,2003-03-26,0,2,0,7
2003078,2003-03-25,0,0,1,6
2003077,2003-03-24,0,9,1,5
2003076,2003-03-23,0,2,3,8
2003075,2003-03-22,0,1,7,4
2003074,2003-03-21,0,7,2,5
2003073,2003-03-20,0,8,6,2
2003072,2003-03-19,0,2,1,1
2003071,2003-03-18,0,8,3,6
2003070,2003-03-17,0,4,6,6
2003069,2003-03-16,0,2,7,9
2003068,2003-03-15,0,2,1,1
2003067,2003-03-14,0,7,2,0
2003066,2003-03-13,0,6,5,0
2003065,2003-03-12,0,7,2,4
2003064,2003-03-11,0,7,2,1
2003063,2003-03-10,0,2,8,9
2003062,2003-03-09,0,6,9,9
