issue,draw_date,sales_amount,one,two,three
2009184,2009-07-10,"55,164,024",6,2,3
2009183,2009-07-09,"54,066,118",6,9,6
2009182,2009-07-08,"55,725,068",2,8,8
2009181,2009-07-07,"57,850,738",5,0,0
2009180,2009-07-06,"59,592,588",0,3,5
2009179,2009-07-05,"56,962,688",3,6,2
2009178,2009-07-04,"54,862,570",2,4,7
2009177,2009-07-03,"57,393,136",0,5,9
2009176,2009-07-02,"56,222,546",5,5,1
2009175,2009-07-01,"57,212,572",5,8,6
2009174,2009-06-30,"56,614,270",9,6,5
2009173,2009-06-29,"57,236,278",7,1,3
2009172,2009-06-28,"53,253,572",9,1,9
2009171,2009-06-27,"56,609,622",2,0,0
2009170,2009-06-26,"60,012,464",4,4,6
2009169,2009-06-25,"57,174,514",4,7,5
2009168,2009-06-24,"61,694,216",5,6,5
2009167,2009-06-23,"59,068,278",8,1,7
2009166,2009-06-22,"57,943,328",2,0,9
2009165,2009-06-21,"56,419,010",3,5,4
2009164,2009-06-20,"54,615,234",1,4,7
2009163,2009-06-19,"57,173,390",8,3,8
2009162,2009-06-18,"61,477,570",9,9,5
2009161,2009-06-17,"62,630,266",0,4,8
2009160,2009-06-16,"60,470,684",6,2,7
2009159,2009-06-15,"61,384,748",0,3,7
2009158,2009-06-14,"58,236,874",1,3,9
2009157,2009-06-13,"59,295,180",5,0,8
2009156,2009-06-12,"60,315,210",8,4,1
2009155,2009-06-11,"61,983,324",1,8,8
2009154,2009-06-10,"61,699,054",3,5,1
2009153,2009-06-09,"58,513,582",3,8,9
2009152,2009-06-08,"58,867,128",5,7,2
2009151,2009-06-07,"56,860,230",4,5,3
2009150,2009-06-06,"57,494,458",7,1,9
2009149,2009-06-05,"58,561,474",0,6,3
2009148,2009-06-04,"55,998,786",8,3,1
2009147,2009-06-03,"57,681,600",5,6,6
2009146,2009-06-02,"53,917,882",7,1,4
2009145,2009-06-01,"56,540,288",1,1,0
2009144,2009-05-31,"53,072,812",0,9,7
2009143,2009-05-30,"60,360,726",2,2,1
2009142,2009-05-29,"58,887,182",2,1,8
2009141,2009-05-28,"56,693,630",9,3,8
2009140,2009-05-27,"57,855,452",7,3,1
2009139,2009-05-26,"56,587,084",4,1,2
2009138,2009-05-25,"57,653,540",8,9,0
2009137,2009-05-24,"52,280,688",3,0,2
2009136,2009-05-23,"54,739,634",5,7,0
2009135,2009-05-22,"58,391,946",7,2,2
2009134,2009-05-21,"58,037,042",9,8,6
2009133,2009-05-20,"56,530,426",4,1,9
2009132,2009-05-19,"56,090,594",8,3,2
2009131,2009-05-18,"57,792,450",3,7,3
2009130,2009-05-17,"54,074,544",2,6,9
2009129,2009-05-16,"54,330,292",0,5,6
2009128,2009-05-15,"55,280,184",9,7,4
2009127,2009-05-14,"53,475,764",5,3,9
2009126,2009-05-13,"53,818,452",7,3,6
2009125,2009-05-12,"53,651,584",6,4,4
2009124,2009-05-11,"55,965,356",2,2,3
2009123,2009-05-10,"53,994,672",9,9,2
2009122,2009-05-09,"55,882,594",4,3,1
2009121,2009-05-08,"59,709,082",1,8,1
2009120,2009-05-07,"59,250,566",3,0,1
2009119,2009-05-06,"59,485,382",1,4,6
2009118,2009-05-05,"58,383,522",6,6,3
2009117,2009-05-04,"60,734,472",5,0,5
2009116,2009-05-03,"57,727,838",1,9,2
2009115,2009-05-02,"59,030,066",0,4,8
2009114,2009-05-01,"54,326,334",3,5,9
2009113,2009-04-30,"60,969,342",7,0,5
2009112,2009-04-29,"64,223,164",4,7,7
2009111,2009-04-28,"62,319,382",6,4,5
2009110,2009-04-27,"61,496,806",6,0,3
2009109,2009-04-26,"58,615,638",8,3,2
2009108,2009-04-25,"59,695,048",2,0,7
2009107,2009-04-24,"62,200,298",9,8,5
2009106,2009-04-23,"60,084,626",5,8,0
2009105,2009-04-22,"60,605,476",6,9,1
2009104,2009-04-21,"59,190,144",5,1,5
2009103,2009-04-20,"58,949,430",7,3,0
2009102,2009-04-19,"56,740,426",1,9,7
2009101,2009-04-18,"58,697,466",4,8,5
2009100,2009-04-17,"60,808,402",5,8,5
2009099,2009-04-16,"57,609,136",4,3,6
2009098,2009-04-15,"55,996,352",9,3,7
2009097,2009-04-14,"56,023,268",4,7,4
2009096,2009-04-13,"57,027,592",4,0,2
2009095,2009-04-12,"55,936,338",7,9,2
2009094,2009-04-11,"57,224,962",2,9,0
2009093,2009-04-10,"57,573,482",0,6,9
2009092,2009-04-09,"55,070,382",0,8,5
2009091,2009-04-08,"56,539,984",8,5,1
2009090,2009-04-07,"58,329,598",0,0,3
2009089,2009-04-06,"57,867,702",0,4,6
2009088,2009-04-05,"56,737,320",8,0,9
2009087,2009-04-04,"55,913,358",8,2,1
2009086,2009-04-03,"62,412,326",1,6,1
2009085,2009-04-02,"60,764,954",8,5,2
2009084,2009-04-01,"60,743,508",0,7,6
2009083,2009-03-31,"62,642,024",8,7,7
2009082,2009-03-30,"61,505,892",3,7,6
2009081,2009-03-29,"57,885,758",4,5,6
2009080,2009-03-28,"57,118,360",5,3,0
2009079,2009-03-27,"60,615,482",8,9,2
2009078,2009-03-26,"59,219,402",5,5,8
2009077,2009-03-25,"57,192,588",5,7,6
2009076,2009-03-24,"53,174,320",9,8,8
2009075,2009-03-23,"58,112,348",9,9,9
2009074,2009-03-22,"54,666,970",3,2,8
2009073,2009-03-21,"58,463,732",3,0,3
2009072,2009-03-20,"63,163,354",8,2,1
2009071,2009-03-19,"59,607,450",0,4,7
2009070,2009-03-18,"61,226,806",3,5,1
2009069,2009-03-17,"57,814,194",0,8,5
2009068,2009-03-16,"59,212,924",7,1,8
2009067,2009-03-15,"55,518,742",0,1,6
2009066,2009-03-14,"57,270,982",6,6,5
2009065,2009-03-13,"58,945,922",0,5,5
2009064,2009-03-13,"58,088,152",6,6,1
2009063,2009-03-11,"59,013,950",9,9,4
2009062,2009-03-10,"56,536,944",4,4,3
2009061,2009-03-09,"56,668,446",2,0,7
2009060,2009-03-08,"62,955,714",7,7,4
2009059,2009-03-07,"62,280,814",3,5,9
2009058,2009-03-06,"61,761,418",2,0,8
2009057,2009-03-05,"59,394,358",6,5,8
2009056,2009-03-04,"62,211,830",6,5,2
2009055,2009-03-03,"59,793,080",5,6,7
2009054,2009-03-02,"58,022,276",6,9,8
2009053,2009-03-01,"54,614,490",6,4,5
2009052,2009-02-28,"56,249,380",3,8,9
2009051,2009-02-27,"54,071,260",4,1,6
2009050,2009-02-26,"50,898,284",5,0,8
2009049,2009-02-25,"50,588,348",8,3,4
2009048,2009-02-24,"49,035,038",9,3,9
2009047,2009-02-23,"51,315,602",3,9,3
2009046,2009-02-22,"50,617,820",9,8,9
2009045,2009-02-21,"49,455,964",3,7,5
2009044,2009-02-20,"52,291,796",7,3,7
2009043,2009-02-19,"51,225,184",2,6,8
2009042,2009-02-18,"51,105,016",1,4,0
2009041,2009-02-17,"49,043,088",9,6,8
2009040,2009-02-16,"51,315,270",4,4,0
2009039,2009-02-15,"49,921,808",8,9,7
2009038,2009-02-14,"51,568,068",5,4,0
2009037,2009-02-13,"50,725,224",1,4,7
2009036,2009-02-12,"47,419,888",2,3,6
2009035,2009-02-11,"45,432,734",5,1,4
2009034,2009-02-10,"45,250,818",7,6,7
2009033,2009-02-09,"53,445,202",4,4,4
2009032,2009-02-08,"48,565,356",1,9,4
2009031,2009-02-07,"46,951,782",5,2,9
2009030,2009-02-06,"48,049,376",7,8,5
2009029,2009-02-05,"43,796,454",9,1,8
2009028,2009-02-04,"42,488,546",5,0,6
2009027,2009-02-03,"40,713,716",2,9,8
2009026,2009-02-02,"37,215,102",3,8,4
2009025,2009-02-01,"35,497,914",1,4,1
2009024,2009-01-24,"40,940,162",4,2,9
2009023,2009-01-23,"49,052,244",3,4,4
2009022,2009-01-22,"50,007,354",3,5,8
2009021,2009-01-21,"50,119,960",1,3,5
2009020,2009-01-20,"50,385,432",3,2,8
2009019,2009-01-19,"51,113,470",5,1,4
2009018,2009-01-18,"52,419,844",3,3,4
2009017,2009-01-18,"52,094,222",7,4,0
2009016,2009-01-16,"52,733,076",3,0,4
2009015,2009-01-15,"51,181,610",8,6,9
2009014,2009-01-14,"52,350,552",4,3,4
2009013,2009-01-13,"57,856,636",6,2,6
2009012,2009-01-12,"56,373,848",1,5,7
2009011,2009-01-11,"51,996,076",4,0,3
2009010,2009-01-10,"53,662,752",3,9,7
2009009,2009-01-09,"53,215,152",0,4,7
2009008,2009-01-08,"52,464,440",1,9,6
2009007,2009-01-07,"53,813,130",9,1,6
2009006,2009-01-06,"51,316,338",0,3,7
2009005,2009-01-05,"58,720,250",4,9,9
2009004,2009-01-04,"56,507,186",9,5,1
2009003,2009-01-03,"53,485,626",4,3,8
2009002,2009-01-02,"51,089,610",7,5,4
2009001,2009-01-01,"49,192,652",6,7,1
2010358,2010-12-31,"66,515,384",2,2,8
2010357,2010-12-30,"65,059,024",5,1,0
2010356,2010-12-29,"70,029,054",8,6,9
2010355,2010-12-28,"67,710,604",8,0,4
2010354,2010-12-27,"65,586,694",5,3,7
2010353,2010-12-26,"59,835,456",0,8,5
2010352,2010-12-25,"59,730,420",2,9,5
2010351,2010-12-24,"62,037,846",2,4,5
2010350,2010-12-23,"59,446,552",1,9,4
2010349,2010-12-22,"60,474,222",6,3,8
2010348,2010-12-21,"58,859,214",0,9,7
2010347,2010-12-20,"57,460,662",4,6,9
2010346,2010-12-19,"58,215,812",0,3,3
2010345,2010-12-18,"63,380,386",0,2,0
2010344,2010-12-17,"62,375,154",7,0,3
2010343,2010-12-16,"58,540,514",1,4,6
2010342,2010-12-15,"58,210,920",7,9,4
2010341,2010-12-14,"58,225,934",9,1,7
2010340,2010-12-13,"57,559,884",3,0,2
2010339,2010-12-12,"57,891,274",0,4,0
2010338,2010-12-11,"59,733,516",6,9,3
2010337,2010-12-10,"63,295,302",9,2,1
2010336,2010-12-09,"60,551,488",5,6,8
2010335,2010-12-08,"59,511,672",2,9,6
2010334,2010-12-07,"64,559,314",4,4,7
2010333,2010-12-06,"63,110,004",8,0,5
2010332,2010-12-05,"58,264,536",7,4,3
2010331,2010-12-04,"58,977,170",7,2,6
2010330,2010-12-03,"57,283,424",3,7,8
2010329,2010-12-02,"55,635,142",5,9,4
2010328,2010-12-01,"55,644,636",0,9,4
2010327,2010-11-30,"53,210,190",5,0,6
2010326,2010-11-29,"59,157,126",0,0,6
2010325,2010-11-28,"55,202,934",8,0,9
2010324,2010-11-27,"55,103,670",2,9,8
2010323,2010-11-26,"56,815,380",2,8,0
2010322,2010-11-25,"54,844,940",5,7,8
2010321,2010-11-24,"55,029,190",6,0,8
2010320,2010-11-23,"53,016,254",3,4,5
2010319,2010-11-22,"52,130,062",6,0,5
2010318,2010-11-21,"52,327,304",0,5,0
2010317,2010-11-20,"50,842,418",6,7,0
2010316,2010-11-19,"56,727,000",1,1,1
2010315,2010-11-18,"57,262,600",8,5,5
2010314,2010-11-17,"56,885,956",5,7,3
2010313,2010-11-16,"55,303,648",5,8,6
2010312,2010-11-15,"55,973,378",9,7,0
2010311,2010-11-14,"53,694,846",3,7,1
2010310,2010-11-13,"54,426,724",0,1,7
2010309,2010-11-12,"55,872,262",3,7,7
2010308,2010-11-11,"56,448,332",4,9,8
2010307,2010-11-10,"59,861,824",4,4,2
2010306,2010-11-09,"58,000,514",6,4,2
2010305,2010-11-08,"57,059,918",5,1,3
2010304,2010-11-07,"54,942,720",3,4,0
2010303,2010-11-06,"59,836,820",4,4,9
2010302,2010-11-05,"60,473,512",6,2,1
2010301,2010-11-04,"58,540,366",9,6,5
2010300,2010-11-03,"58,268,584",0,8,4
2010299,2010-11-02,"54,964,032",2,1,6
2010298,2010-11-01,"56,093,616",9,7,5
2010297,2010-10-31,"53,279,296",3,7,4
2010296,2010-10-30,"51,311,604",7,1,3
2010295,2010-10-29,"53,487,398",7,9,8
2010294,2010-10-28,"55,032,050",0,9,0
2010293,2010-10-27,"52,396,888",0,7,4
2010292,2010-10-26,"52,326,808",2,9,1
2010291,2010-10-25,"52,032,680",1,2,9
2010290,2010-10-24,"52,434,634",7,7,0
2010289,2010-10-23,"54,847,234",7,7,1
2010288,2010-10-22,"58,879,322",9,1,6
2010287,2010-10-21,"53,757,558",0,7,1
2010286,2010-10-20,"55,514,148",5,0,1
2010285,2010-10-19,"52,899,646",0,1,6
2010284,2010-10-18,"54,089,408",1,4,0
2010283,2010-10-17,"53,817,108",3,0,3
2010282,2010-10-16,"52,255,776",1,4,4
2010281,2010-10-15,"55,747,076",5,5,1
2010280,2010-10-14,"54,518,242",1,9,9
2010279,2010-10-13,"56,219,248",4,0,7
2010278,2010-10-12,"53,569,590",1,2,7
2010277,2010-10-11,"53,431,036",0,1,6
2010276,2010-10-10,"53,074,886",6,6,5
2010275,2010-10-09,"58,983,206",6,8,6
2010274,2010-10-08,"57,086,752",7,9,4
2010273,2010-10-07,"52,770,470",8,1,5
2010272,2010-10-06,"52,088,752",3,2,0
2010271,2010-10-05,"51,714,458",6,6,0
2010270,2010-10-04,"53,015,638",8,9,7
2010269,2010-10-03,"50,623,098",2,7,0
2010268,2010-10-02,"50,714,292",4,1,9
2010267,2010-10-01,"51,647,856",0,3,6
2010266,2010-09-30,"52,037,896",7,4,3
2010265,2010-09-29,"56,881,880",1,9,9
2010264,2010-09-28,"55,014,504",1,7,8
2010263,2010-09-27,"55,072,752",4,1,3
2010262,2010-09-26,"53,318,592",2,4,0
2010261,2010-09-25,"55,281,836",7,9,4
2010260,2010-09-24,"53,393,586",8,2,3
2010259,2010-09-23,"48,317,402",1,6,2
2010258,2010-09-22,"44,701,278",5,5,7
2010257,2010-09-21,"49,797,142",0,2,1
2010256,2010-09-20,"51,242,508",7,7,5
2010255,2010-09-19,"49,117,340",9,1,4
2010254,2010-09-18,"52,630,170",9,4,5
2010253,2010-09-17,"52,531,620",9,4,5
2010252,2010-09-16,"54,794,142",6,6,5
2010251,2010-09-15,"55,942,232",3,4,0
2010250,2010-09-14,"54,430,814",2,6,7
2010249,2010-09-13,"55,453,338",6,9,2
2010248,2010-09-12,"52,984,880",4,6,3
2010247,2010-09-11,"53,064,716",0,7,5
2010246,2010-09-10,"57,781,030",5,3,5
2010245,2010-09-09,"56,821,606",0,4,3
2010244,2010-09-08,"54,833,198",4,5,7
2010243,2010-09-07,"52,908,460",2,8,0
2010242,2010-09-06,"52,883,308",8,0,3
2010241,2010-09-05,"49,694,280",6,1,2
2010240,2010-09-04,"50,840,144",4,0,2
2010239,2010-09-03,"51,819,988",9,0,1
2010238,2010-09-02,"54,320,356",1,7,1
2010237,2010-09-01,"54,426,574",1,7,5
2010236,2010-08-31,"52,378,040",6,7,1
2010235,2010-08-30,"55,057,710",0,0,7
2010234,2010-08-29,"53,486,252",3,5,4
2010233,2010-08-28,"57,897,850",5,7,5
2010232,2010-08-27,"56,402,984",3,7,9
2010231,2010-08-26,"54,383,638",6,1,3
2010230,2010-08-25,"53,759,138",2,4,8
2010229,2010-08-24,"51,276,676",7,6,4
2010228,2010-08-23,"51,382,474",5,1,9
2010227,2010-08-22,"48,376,834",2,5,9
2010226,2010-08-21,"50,059,588",4,3,4
2010225,2010-08-20,"50,331,918",0,6,8
2010224,2010-08-19,"48,702,116",2,5,2
2010223,2010-08-18,"51,054,122",7,4,4
2010222,2010-08-17,"51,097,724",1,3,0
2010221,2010-08-16,"51,504,964",4,7,8
2010220,2010-08-15,"49,698,356",6,7,2
2010219,2010-08-14,"49,289,786",7,4,8
2010218,2010-08-13,"49,975,858",7,1,5
2010217,2010-08-12,"48,498,476",6,4,2
2010216,2010-08-11,"48,775,384",6,8,8
2010215,2010-08-10,"47,433,786",8,7,8
2010214,2010-08-09,"52,601,804",6,6,6
2010213,2010-08-08,"50,830,412",7,2,0
2010212,2010-08-07,"51,521,212",0,9,7
2010211,2010-08-06,"51,947,536",2,4,9
2010210,2010-08-05,"51,036,354",8,2,8
2010209,2010-08-04,"51,883,894",8,0,1
2010208,2010-08-03,"52,327,648",2,4,8
2010207,2010-08-02,"50,760,912",4,6,8
2010206,2010-08-01,"50,431,244",8,3,8
2010205,2010-07-31,"50,091,422",1,3,2
2010204,2010-07-30,"52,640,442",5,3,5
2010203,2010-07-29,"51,150,358",4,8,5
2010202,2010-07-28,"51,919,114",0,4,1
2010201,2010-07-27,"53,799,300",7,0,0
2010200,2010-07-26,"55,120,712",4,9,3
2010199,2010-07-25,"51,614,750",4,8,6
2010198,2010-07-24,"51,599,332",3,1,2
2010197,2010-07-23,"55,210,296",7,8,7
2010196,2010-07-22,"54,918,664",9,4,8
2010195,2010-07-21,"55,400,262",6,5,0
2010194,2010-07-20,"57,507,976",2,7,7
2010193,2010-07-19,"57,620,136",6,2,3
2010192,2010-07-18,"52,667,182",1,6,8
2010191,2010-07-17,"53,396,014",4,3,2
2010190,2010-07-16,"54,119,502",9,3,5
2010189,2010-07-15,"54,097,578",6,7,4
2010188,2010-07-14,"53,962,240",2,4,7
2010187,2010-07-13,"52,007,034",0,1,9
2010186,2010-07-12,"51,770,412",7,0,1
2010185,2010-07-11,"51,092,678",4,2,7
2010184,2010-07-10,"50,744,720",8,3,7
2010183,2010-07-09,"50,580,826",3,5,0
2010182,2010-07-08,"51,395,586",2,6,6
2010181,2010-07-07,"51,122,726",3,7,9
2010180,2010-07-06,"49,815,308",5,2,6
2010179,2010-07-05,"50,854,374",7,6,0
2010178,2010-07-04,"47,864,226",1,7,6
2010177,2010-07-03,"45,853,474",2,8,9
2010176,2010-07-02,"49,868,198",0,0,1
2010175,2010-07-01,"48,634,316",3,4,5
2010174,2010-06-30,"49,996,228",7,5,6
2010173,2010-06-29,"49,615,806",0,6,2
2010172,2010-06-28,"47,612,086",1,4,7
2010171,2010-06-27,"47,667,308",1,1,9
2010170,2010-06-26,"48,992,274",0,5,9
2010169,2010-06-25,"48,066,826",8,6,1
2010168,2010-06-24,"50,272,910",8,9,8
2010167,2010-06-23,"51,151,966",5,2,8
2010166,2010-06-22,"50,475,496",5,0,3
2010165,2010-06-21,"49,765,418",0,5,7
2010164,2010-06-20,"49,940,326",0,2,2
2010163,2010-06-19,"50,876,796",8,2,0
2010162,2010-06-18,"52,268,744",4,5,0
2010161,2010-06-17,"50,300,056",3,1,0
2010160,2010-06-16,"50,847,344",1,6,1
2010159,2010-06-15,"50,184,914",0,5,6
2010158,2010-06-14,"52,532,124",3,3,2
2010157,2010-06-13,"51,796,190",8,5,2
2010156,2010-06-12,"54,879,240",8,3,6
2010155,2010-06-11,"55,319,952",2,8,6
2010154,2010-06-10,"49,346,824",2,0,7
2010153,2010-06-09,"56,136,230",0,0,0
2010152,2010-06-08,"56,233,082",8,8,2
2010151,2010-06-07,"57,703,938",3,0,4
2010150,2010-06-06,"56,851,658",6,4,1
2010149,2010-06-05,"56,723,114",6,3,7
2010148,2010-06-04,"59,311,368",2,6,8
2010147,2010-06-03,"58,994,194",1,0,6
2010146,2010-06-02,"57,734,000",1,3,5
2010145,2010-06-01,"57,890,762",6,6,7
2010144,2010-05-31,"60,338,138",3,3,7
2010143,2010-05-30,"58,193,228",7,7,6
2010142,2010-05-29,"62,318,166",2,3,2
2010141,2010-05-28,"65,636,082",1,9,0
2010140,2010-05-27,"64,928,326",8,1,0
2010139,2010-05-26,"65,522,942",1,5,6
2010138,2010-05-25,"61,277,490",8,7,3
2010137,2010-05-24,"59,007,532",9,5,4
2010136,2010-05-23,"56,576,694",0,7,6
2010135,2010-05-22,"55,300,526",6,3,4
2010134,2010-05-21,"58,158,510",8,7,9
2010133,2010-05-20,"57,673,804",0,8,6
2010132,2010-05-19,"60,531,160",5,9,1
2010131,2010-05-18,"54,778,252",7,6,1
2010130,2010-05-17,"58,728,708",0,2,0
2010129,2010-05-16,"57,784,032",9,2,9
2010128,2010-05-15,"59,581,044",0,8,2
2010127,2010-05-14,"66,082,396",0,7,7
2010126,2010-05-13,"60,150,546",8,2,7
2010125,2010-05-12,"60,840,090",0,1,9
2010124,2010-05-11,"56,554,258",7,4,3
2010123,2010-05-10,"55,282,174",2,3,5
2010122,2010-05-09,"53,081,486",7,6,8
2010121,2010-05-08,"53,916,562",0,5,6
2010120,2010-05-07,"59,114,740",8,5,5
2010119,2010-05-06,"56,436,796",9,4,1
2010118,2010-05-05,"56,932,616",1,0,5
2010117,2010-05-04,"55,838,554",7,4,9
2010116,2010-05-03,"55,559,352",6,4,3
2010115,2010-05-02,"51,466,010",9,3,8
2010114,2010-05-01,"50,860,596",4,0,9
2010113,2010-04-30,"56,438,316",4,1,4
2010112,2010-04-29,"56,220,886",2,6,3
2010111,2010-04-28,"55,939,102",1,8,5
2010110,2010-04-27,"53,811,172",7,6,3
2010109,2010-04-26,"54,123,344",0,2,7
2010108,2010-04-25,"51,150,624",8,4,1
2010107,2010-04-24,"55,146,196",2,3,2
2010106,2010-04-23,"55,501,930",3,4,2
2010105,2010-04-22,"53,134,500",1,9,0
2010104,2010-04-21,"54,865,740",4,6,5
2010103,2010-04-20,"54,092,946",0,8,1
2010102,2010-04-19,"54,233,012",8,7,2
2010101,2010-04-18,"52,245,060",2,5,7
2010100,2010-04-17,"53,167,230",7,3,2
2010099,2010-04-16,"53,390,196",2,1,7
2010098,2010-04-15,"54,210,502",2,4,2
2010097,2010-04-14,"55,195,308",8,9,3
2010096,2010-04-13,"52,495,594",7,6,0
2010095,2010-04-12,"53,711,892",3,3,8
2010094,2010-04-11,"53,005,138",8,4,8
2010093,2010-04-10,"54,610,248",1,4,4
2010092,2010-04-09,"57,979,922",2,2,8
2010091,2010-04-08,"55,739,872",9,1,3
2010090,2010-04-07,"58,298,522",9,5,4
2010089,2010-04-06,"55,934,028",1,4,9
2010088,2010-04-05,"54,249,482",4,7,0
2010087,2010-04-04,"52,651,554",6,7,1
2010086,2010-04-03,"54,598,458",3,8,3
2010085,2010-04-02,"56,336,064",9,7,2
2010084,2010-04-01,"56,750,468",5,5,9
2010083,2010-03-31,"58,670,782",4,7,6
2010082,2010-03-30,"56,228,112",7,1,9
2010081,2010-03-29,"55,700,616",9,7,5
2010080,2010-03-28,"52,841,296",5,6,8
2010079,2010-03-27,"51,792,032",8,4,3
2010078,2010-03-26,"54,772,688",1,1,4
2010077,2010-03-25,"54,644,932",1,7,6
2010076,2010-03-24,"54,247,168",3,4,9
2010075,2010-03-23,"47,988,928",4,0,7
2010074,2010-03-22,"52,003,882",0,1,0
2010073,2010-03-21,"52,804,142",9,3,2
2010072,2010-03-20,"54,805,578",8,2,2
2010071,2010-03-19,"57,336,516",9,4,9
2010070,2010-03-18,"53,507,090",1,7,4
2010069,2010-03-17,"58,451,578",1,0,1
2010068,2010-03-16,"57,327,682",1,2,5
2010067,2010-03-15,"56,305,412",3,0,5
2010066,2010-03-14,"54,579,648",2,1,3
2010065,2010-03-13,"53,699,164",9,4,3
2010064,2010-03-12,"56,170,262",7,0,6
2010063,2010-03-11,"55,959,890",7,8,4
2010062,2010-03-10,"53,763,048",5,1,3
2010061,2010-03-09,"50,221,132",3,9,7
2010060,2010-03-08,"49,378,846",2,9,0
2010059,2010-03-07,"50,450,640",1,8,1
2010058,2010-03-06,"50,629,240",0,2,3
2010057,2010-03-05,"50,556,040",3,1,7
2010056,2010-03-04,"49,034,960",7,5,9
2010055,2010-03-03,"49,659,226",1,3,1
2010054,2010-03-02,"50,066,600",1,1,3
2010053,2010-03-01,"49,522,976",4,9,4
2010052,2010-02-28,"49,162,100",0,6,5
2010051,2010-02-27,"50,475,846",4,6,5
2010050,2010-02-26,"51,378,332",3,1,4
2010049,2010-02-25,"49,625,870",4,2,3
2010048,2010-02-24,"49,146,906",5,1,6
2010047,2010-02-23,"46,737,566",0,9,3
2010046,2010-02-22,"44,370,750",7,9,6
2010045,2010-02-21,"43,172,462",9,8,8
2010044,2010-02-20,"39,063,244",8,2,1
2010043,2010-02-12,"46,252,734",3,5,7
2010042,2010-02-11,"51,296,306",2,1,4
2010041,2010-02-10,"50,805,488",5,3,8
2010040,2010-02-09,"51,835,364",0,7,2
2010039,2010-02-08,"53,909,826",8,8,2
2010038,2010-02-07,"54,473,110",0,4,1
2010037,2010-02-06,"54,932,896",4,7,4
2010036,2010-02-05,"58,827,230",9,0,3
2010035,2010-02-04,"56,325,086",9,2,7
2010034,2010-02-03,"58,488,210",0,7,5
2010033,2010-02-02,"56,737,930",9,7,4
2010032,2010-02-01,"58,952,656",3,9,3
2010031,2010-01-31,"58,828,972",5,1,4
2010030,2010-01-30,"60,085,894",3,9,4
2010029,2010-01-29,"60,777,426",9,1,0
2010028,2010-01-28,"58,476,438",7,4,0
2010027,2010-01-27,"61,033,520",3,5,3
2010026,2010-01-26,"59,504,910",6,7,7
2010025,2010-01-25,"61,014,734",8,5,8
2010024,2010-01-24,"61,941,626",7,7,3
2010023,2010-01-23,"60,390,026",5,2,8
2010022,2010-01-22,"62,791,148",2,1,7
2010021,2010-01-21,"61,117,298",7,1,4
2010020,2010-01-20,"63,013,098",9,2,4
2010019,2010-01-19,"63,061,462",2,6,0
2010018,2010-01-18,"63,051,472",8,2,9
2010017,2010-01-17,"54,881,720",4,8,3
2010016,2010-01-16,"63,116,988",1,1,1
2010015,2010-01-15,"60,538,540",8,2,7
2010014,2010-01-14,"59,042,214",1,9,6
2010013,2010-01-13,"61,026,728",9,6,9
2010012,2010-01-12,"58,278,692",4,2,6
2010011,2010-01-11,"66,374,330",1,1,5
2010010,2010-01-10,"61,258,544",8,7,5
2010009,2010-01-09,"63,410,120",1,0,9
2010008,2010-01-08,"64,229,838",3,9,7
2010007,2010-01-07,"62,969,946",2,8,1
2010006,2010-01-06,"61,584,322",5,6,0
2010005,2010-01-05,"59,872,522",9,2,7
2010004,2010-01-04,"61,328,816",4,9,6
2010003,2010-01-03,"58,884,602",6,1,0
2010002,2010-01-02,"59,456,544",9,3,8
2010001,2010-01-01,"56,143,340",5,9,1
2011358,2011-12-31,"66,422,468",2,5,4
2011357,2011-12-30,"66,347,978",1,9,3
2011356,2011-12-29,"63,445,002",9,1,7
2011355,2011-12-28,"66,211,706",4,8,8
2011354,2011-12-27,"63,988,150",4,8,9
2011353,2011-12-26,"67,139,100",0,1,2
2011352,2011-12-25,"67,265,816",5,8,9
2011351,2011-12-24,"66,337,770",1,4,5
2011350,2011-12-23,"67,124,104",3,6,8
2011349,2011-12-22,"63,771,572",7,8,1
2011348,2011-12-21,"64,694,590",7,7,2
2011347,2011-12-20,"64,475,306",5,3,3
2011346,2011-12-19,"67,800,376",9,9,3
2011345,2011-12-18,"64,419,392",5,8,0
2011344,2011-12-17,"64,583,502",9,0,8
2011343,2011-12-16,"62,644,366",9,2,0
2011342,2011-12-15,"68,962,870",3,3,3
2011341,2011-12-14,"68,512,790",9,6,1
2011340,2011-12-13,"65,525,270",0,4,5
2011339,2011-12-12,"64,576,724",6,1,3
2011338,2011-12-11,"64,746,548",8,0,8
2011337,2011-12-10,"63,064,574",7,2,4
2011336,2011-12-09,"64,202,714",5,4,1
2011335,2011-12-08,"62,448,710",7,6,2
2011334,2011-12-07,"61,138,480",7,8,3
2011333,2011-12-06,"61,086,552",2,4,6
2011332,2011-12-05,"67,714,996",8,0,5
2011331,2011-12-04,"58,534,462",9,3,4
2011330,2011-12-03,"57,903,082",8,9,0
2011329,2011-12-02,"61,190,856",8,3,8
2011328,2011-12-01,"58,822,216",6,1,9
2011327,2011-11-30,"58,290,654",7,9,1
2011326,2011-11-29,"60,591,036",3,8,1
2011325,2011-11-28,"61,140,332",3,8,5
2011324,2011-11-27,"59,046,212",4,3,6
2011323,2011-11-26,"60,204,420",7,2,4
2011322,2011-11-25,"61,431,188",2,2,0
2011321,2011-11-24,"58,258,346",9,4,4
2011320,2011-11-23,"60,291,442",4,4,2
2011319,2011-11-22,"59,125,182",4,4,3
